category_name,locale,translated_name
ALAT TULIS DAN BAHAN BACAAN,en,Stationery & Reading Materials
AYAM,en,Chicken
BAHAN LAUT,en,Seafood
BAHAN-BAHAN MINUMAN,en,Beverage Ingredients
BAWANG,en,Onions
BERAS,en,Rice
BERUS GIGI,en,Toothbrushes
BIHUN,en,Rice Vermicelli
BISKUT,en,Biscuits
BUAH-BUAHAN,en,Fruits
CILI KERING,en,Dried Chillies
COKLAT,en,Chocolate
DAGING,en,Meat
ESEN DAN RAGI,en,Essences & Yeast
GULA,en,Sugar
HASIL LAUT KERING,en,Dried Seafood
IKAN DALAM TIN,en,Canned Fish
IKAN DARAT,en,Freshwater Fish
KACANG,en,Nuts & Legumes
KELAPA,en,Coconut
KICAP DAN SOS,en,Soy Sauce & Sauces
KRIMER DAN SUSU TEPUNG,en,Creamer & Milk Powder
LAIN-LAIN,en,Other
LAMPIN PAKAI BUANG,en,Disposable Diapers
LAUK,en,Prepared Dishes
MAJALAH,en,Magazines
MAKANAN BAYI,en,Baby Food
MAKANAN RINGAN,en,Snacks
MAKANAN SEGERA,en,Instant Food
MEE / BIHUN / KUEY TEOW,en,"Noodles, Rice Vermicelli & Kuey Teow"
MEE/KUETIAU,en,Noodles & Kuey Teow
MENTEGA,en,Butter
MI SEGERA,en,Instant Noodles
MINUMAN,en,Beverages
MINYAK DAN LEMAK,en,Oils & Fats
MOUTH WASH,en,Mouthwash
NASI,en,Cooked Rice
PENJAGAAN DIRI,en,Personal Care
PENJAGAAN RUMAH,en,Household Care
ROTI,en,Bread
SABUN BADAN,en,Body Wash
SANTAN (KOTAK),en,Coconut Milk (Carton)
SAPUAN (SPREADS),en,Spreads
SAYUR-SAYURAN,en,Vegetables
SUSU BAYI,en,Infant Formula
SYAMPU,en,Shampoo
TAUHU DAN TEMPE,en,Tofu & Tempeh
TELUR,en,Eggs
TEPUNG,en,Flour
TERSEDIA MINUM,en,Ready-to-Drink
TISU,en,Tissues
TUALA WANITA,en,Sanitary Pads
UBAT GIGI,en,Toothpaste
UBAT-UBATAN,en,Medicines
UBI KENTANG,en,Potatoes
